SiteID, Latitude, Longitude, Elevation,condition,STATE
DEN417,63.7258,-148.9633,661,active,AK
SND152,34.289,-85.9701,349,active,AL
CAD150,34.1793,-93.0988,78,active,AR
PET427,34.8225,-109.8919,1723,active,AZ
GRC474,36.0597,-112.1822,2073,active,AZ
CHA467,32.0092,-109.3892,1570,active,AZ
YOS204,37.7133,-119.7061,1605,active,CA
JOT403,34.0714,-116.3906,1244,active,CA
SEK430,36.4894,-118.8228,457,active,CA
YOS404,37.7133,-119.7061,1605,active,CA
PIN414,36.485,-121.1556,335,active,CA
LAV410,40.5403,-121.5764,1756,active,CA
ROM206,40.2781,-105.5456,2742,active,CO
ROM406,40.2778,-105.5453,2743,active,CO
MEV405,37.1983,-108.4903,2165,active,CO
GTH161,38.9563,-106.9859,2915,active,CO
ABT147,41.8405,-72.0104,202,active,CT
IRL141,27.8492,-80.4556,2,active,FL
EVE419,25.3911,-80.6806,2,active,FL
SUM156,30.1102,-84.9904,16,active,FL
GAS153,33.1812,-84.4101,265,active,GA
ALH157,38.869,-89.6228,164,active,IL
BVL130,40.052,-88.3725,213,active,IL
STK138,42.2872,-90,281,active,IL
SAL133,40.816,-85.6614,250,active,IN
VIN140,38.7408,-87.4849,136,active,IN
KNZ184,39.1022,-96.6096,346,active,KS
KIC003,39.8539,-95.6579,367,active,KS
MCK231,37.7047,-85.0487,293,active,KY
MAC426,37.1313,-86.148,243,active,KY
MCK131,37.7047,-85.0487,293,active,KY
CKT136,37.9215,-83.0663,376,active,KY
CDZ171,36.7841,-87.8502,190,active,KY
BWR139,38.445,-76.1113,1,active,MD
BEL116,39.0282,-76.8171,47,active,MD
ASH135,46.6038,-68.4132,231,active,ME
HOW132,45.2156,-68.7085,66,active,ME
HOW191,45.204,-68.74,68,active,ME
ACA416,44.3769,-68.2608,158,active,ME
ANA115,42.4166,-83.9022,266,active,MI
HOX148,44.1809,-85.739,297,active,MI
UVL124,43.6136,-83.3599,202,active,MI
VOY413,48.4128,-92.8292,429,active,MN
CVL151,34.0027,-89.7992,138,active,MS
GLR468,48.5103,-113.9956,976,active,MT
BFT142,34.8847,-76.6207,5.3,active,NC
CND125,35.2633,-79.8375,172,active,NC
PNF126,36.1054,-82.045,1216,active,NC
COW137,35.0605,-83.4303,683,active,NC
THR422,46.8947,-103.3778,850,active,ND
SAN189,42.8292,-97.8541,434,active,NE
WST109,43.9445,-71.7008,255,active,NH
WSP144,40.3123,-74.8727,59,active,NJ
GRB411,39.0053,-114.2158,2060,active,NV
CAT175,41.9423,-74.552,754,active,NY
HWF187,43.973,-74.2233,497,active,NY
NIC001,43.6805,-74.9891,525,active,NY
WFM105,44.39,-73.86,570,active,NY
CTH110,42.4009,-76.6535,511,active,NY
DCP114,39.6359,-83.2606,264,active,OH
QAK172,39.9427,-81.3379,371,active,OH
OXF122,39.5311,-84.7235,284,active,OH
